date,parkingHours,engineHours,mileage,avgSpeed,maxSpeed,consumed,avgConsumed,nm,week
2022-04-25,33.46,19.88,913.0,14.666666666666666,84.66666666666667,109.22999999999999,7.88,"BBB-850,BBC-924,BBC-929",w 17
2022-04-26,43.4,26.46,1120.0,16.666666666666668,86.0,161.79,7.663333333333334,"BBB-850,BBC-924,BBC-929",w 17
2022-04-27,55.36,37.9,1682.0,17.75,87.5,234.51,7.5075,"BBA-880,BBB-850,BBC-924,BBC-929",w 17
2022-04-28,47.6,44.58,2050.0,21.5,87.5,257.0,8.0125,"BBA-880,BBB-850,BBC-924,BBC-929",w 17
2022-04-29,50.56,41.06,1843.0,19.25,84.25,229.81,8.1975,"BBA-880,BBB-850,BBC-924,BBC-929",w 17
2022-04-30,72.5,22.3,986.0,10.25,64.5,155.0,4.7875,"BBA-880,BBB-850,BBC-924,BBC-929",w 17
2022-05-01,79.52,15.24,755.0,8.25,59.5,63.730000000000004,11.315,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-02,77.25999999999999,18.97,818.0,8.5,64.0,120.09,6.6000000000000005,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-03,53.76,38.19,1738.0,18.0,83.0,250.39,7.62,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-04,64.51,31.07,1324.0,14.0,85.5,181.08,7.470000000000001,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-05,60.4,32.91,1471.0,15.0,85.25,157.74,11.445,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-06,55.19,38.16,1683.0,17.5,83.75,218.63,7.8475,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-07,52.519999999999996,40.58,1807.0,18.75,85.5,265.0,6.7175,"BBA-880,BBB-850,BBC-924,BBC-929",w 18
2022-05-08,56.39,37.2,1783.0,18.75,87.5,199.35,9.8975,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-09,59.82,34.88,1479.0,15.5,84.5,201.69,9.6275,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-10,59.41,34.370000000000005,1580.0,16.25,86.5,200.93,7.92,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-11,52.5,40.79,1774.0,18.5,85.5,233.99,8.225,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-12,44.27,46.85,2126.0,22.0,85.5,287.0,7.32,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-13,46.94,46.769999999999996,1977.0,21.0,87.5,255.0,7.9275,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-14,46.58,44.04,2070.0,21.75,81.25,257.0,8.1275,"BBA-880,BBB-850,BBC-924,BBC-929",w 19
2022-05-15,49.49,41.61,2014.0,21.0,82.25,242.0,8.43,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-16,48.02,42.51,2018.0,21.0,85.25,248.0,8.2025,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-17,63.93,29.259999999999998,1278.0,13.25,65.75,156.1,6.22,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-18,81.78999999999999,13.35,542.0,5.5,60.75,56.730000000000004,7.345000000000001,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-19,75.61,18.270000000000003,898.0,9.0,44.0,123.36,3.9000000000000004,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-20,63.98,31.1,1324.0,14.25,82.75,183.89,7.7825,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-21,50.65,43.519999999999996,1910.0,19.75,83.0,248.22,7.7975,"BBA-880,BBB-850,BBC-924,BBC-929",w 20
2022-05-22,57.28,37.22,1726.0,18.0,80.75,215.25,8.4225,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-23,47.79,45.230000000000004,2060.0,21.25,81.75,258.0,8.015,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-24,47.49,46.120000000000005,2102.0,21.5,83.0,259.0,8.0575,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-25,46.56,48.18,2008.0,21.5,81.75,280.0,7.487500000000001,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-26,51.96,42.92,1839.0,19.5,84.0,255.62,7.48,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-27,53.51,30.259999999999998,1315.0,13.75,63.5,207.15,5.047499999999999,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-28,75.08,21.9,860.0,9.0,61.0,93.25,7.1850000000000005,"BBA-880,BBB-850,BBC-924,BBC-929",w 21
2022-05-29,62.33,30.97,1438.0,15.0,81.5,183.32999999999998,8.065000000000001,"BBA-880,BBB-850,BBC-924,BBC-929",w 22
