week,parkingHours,engineHours,mileage,avgSpeed,maxSpeed,consumed,avgConsumed
w 06,83.23,49.73,1989.12,13.5,72.0,299.12,6.203333333333333
w 07,187.47,111.46,4700.0,16.857142857142858,72.71428571428571,722.02,6.078571428571428
w 08,139.98,81.67,4014.0,16.9,88.7,497.6,11.159
w 09,298.77,128.69,5175.27,11.944444444444445,73.55555555555556,748.52,6.5488888888888885
w 10,249.48,117.03,4081.17,11.25,55.75,634.83,5.153125
w 11,217.71,93.81,3874.29,12.384615384615385,67.53846153846153,524.66,6.225384615384614
w 12,193.8,136.03,5882.0,17.5,85.07142857142857,774.02,8.24
w 13,181.56,133.21,5985.0,17.928571428571427,78.64285714285714,801.46,7.17
w 14,170.5,135.83,6020.0,19.076923076923077,87.46153846153847,787.78,8.014615384615384
w 15,279.08,124.82,5428.0,13.294117647058824,70.52941176470588,727.47,6.298235294117648
w 16,306.94,178.51,8102.0,16.142857142857142,74.38095238095238,1057.55,7.2714285714285705
w 17,359.13,221.73,10036.0,16.8,82.16,1319.43,7.4228
w 18,443.16,215.12,9596.0,14.285714285714286,78.07142857142857,1256.66,8.430714285714286
w 19,365.91,284.9,12789.0,19.107142857142858,85.46428571428571,1634.96,8.435
w 20,433.46999999999997,219.62,9984.0,14.821428571428571,71.96428571428571,1258.3,7.096785714285715
w 21,220.72,198.86,8765.0,20.9,81.65,1176.17,7.592499999999999
